Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,539.5,551.0,529.5,545.5,396.52557373046875,591507
2018-01-03,549.0,551.5,545.5,549.0,399.0697021484375,469233
2018-01-04,547.5,554.0,545.5,547.5,397.9793701171875,452436
2018-01-05,549.5,563.5,548.0,563.5,409.6098327636719,742537
2018-01-08,565.0,565.0,550.5,552.0,401.25042724609375,841458
2018-01-09,552.0,557.0,545.0,547.0,397.61590576171875,607073
2018-01-10,550.0,550.0,536.0,539.5,392.1641540527344,739675
2018-01-11,542.0,542.0,519.5,527.0,383.0779113769531,902487
2018-01-12,533.5,537.0,526.0,530.0,385.258544921875,621085
2018-01-15,532.5,538.0,526.0,526.5,382.7143859863281,727303
2018-01-16,525.0,531.5,523.0,525.0,381.6240539550781,588104
2018-01-17,531.5,531.5,517.0,520.0,377.9895324707031,586907
2018-01-18,520.5,525.0,517.5,525.0,381.6240539550781,626549
2018-01-19,528.0,528.0,521.0,524.5,381.2605895996094,532664
2018-01-22,527.0,527.0,517.5,518.5,376.899169921875,837422
2018-01-23,519.5,527.5,514.0,524.0,380.8971252441406,1140491
2018-01-24,522.0,526.5,506.0,523.5,380.5337219238281,3232012
2018-01-25,517.5,526.5,512.5,515.0,374.3550109863281,1745382
2018-01-26,514.5,516.5,502.5,509.0,369.9936218261719,2820390
2018-01-29,515.0,522.5,510.0,514.5,373.9915771484375,1713191
2018-01-30,511.5,522.5,511.5,519.0,377.2626647949219,1695907
2018-01-31,519.0,519.5,505.0,505.5,367.4494323730469,1717420
2018-02-01,508.5,511.0,501.0,504.5,366.7225646972656,1116124
2018-02-02,505.0,510.0,501.0,508.0,369.2666931152344,1578493
2018-02-05,503.0,506.0,493.0,494.3999938964844,359.38079833984375,1307262
2018-02-06,485.20001220703125,486.0,476.6000061035156,477.79998779296875,347.3142395019531,1771438
2018-02-07,484.0,500.5,478.6000061035156,498.20001220703125,362.14312744140625,1522321
2018-02-08,495.79998779296875,505.0,484.20001220703125,484.20001220703125,351.9664306640625,1145081
2018-02-09,486.0,492.6000061035156,478.20001220703125,491.20001220703125,357.05474853515625,1723743
2018-02-12,494.3999938964844,497.6000061035156,484.79998779296875,487.6000061035156,354.4378967285156,716852
2018-02-13,487.0,489.20001220703125,477.20001220703125,480.0,348.91339111328125,1726880
2018-02-14,482.0,483.0,467.20001220703125,474.0,344.5519714355469,1492712
2018-02-15,477.0,480.79998779296875,473.20001220703125,477.20001220703125,346.8780822753906,1025686
2018-02-16,481.20001220703125,482.79998779296875,476.0,478.0,347.4596252441406,2055209
2018-02-19,476.20001220703125,491.79998779296875,472.79998779296875,488.3999938964844,355.0193786621094,1398116
2018-02-20,491.0,496.6000061035156,489.3999938964844,491.3999938964844,357.2000732421875,1471655
2018-02-21,492.3999938964844,495.79998779296875,485.20001220703125,490.6000061035156,356.61859130859375,2581042
2018-02-22,487.20001220703125,487.6000061035156,476.6000061035156,486.0,353.2748107910156,1249220
2018-02-23,486.0,492.0,484.0,491.0,356.90936279296875,903067
2018-02-26,493.0,496.20001220703125,486.6000061035156,488.0,354.7286682128906,959229
2018-02-27,495.0,498.3999938964844,487.3999938964844,489.20001220703125,355.6009521484375,1611008
2018-02-28,490.0,490.0,474.79998779296875,476.20001220703125,346.1512145996094,1462992
2018-03-01,478.6000061035156,480.20001220703125,467.0,469.20001220703125,341.0628662109375,1207829
2018-03-02,468.3999938964844,479.3999938964844,468.20001220703125,475.0,345.2789001464844,936985
2018-03-05,473.3999938964844,484.3999938964844,473.3999938964844,477.20001220703125,346.8780822753906,2954696
2018-03-06,475.79998779296875,483.20001220703125,473.20001220703125,473.79998779296875,344.4065856933594,2640669
2018-03-07,471.20001220703125,480.20001220703125,468.0,476.79998779296875,346.58734130859375,3090151
2018-03-08,478.20001220703125,488.0,474.6000061035156,486.0,353.2748107910156,1570068
2018-03-09,483.6000061035156,495.0,483.6000061035156,491.6000061035156,357.3454895019531,1396116
2018-03-12,497.20001220703125,500.0,490.79998779296875,494.20001220703125,359.2354736328125,2992982
2018-03-13,490.3999938964844,498.20001220703125,487.79998779296875,491.0,356.90936279296875,1870270
2018-03-14,488.20001220703125,498.20001220703125,487.6000061035156,494.0,359.0900573730469,2323979
2018-03-15,474.6000061035156,475.79998779296875,467.20001220703125,468.3999938964844,356.2002868652344,2897040
2018-03-16,468.79998779296875,468.79998779296875,441.3999938964844,445.3999938964844,338.7096862792969,12292550
2018-03-19,442.6000061035156,443.20001220703125,429.79998779296875,438.79998779296875,333.6906433105469,2656997
2018-03-20,438.79998779296875,457.20001220703125,438.6000061035156,450.79998779296875,342.816162109375,1523271
2018-03-21,449.6000061035156,467.3999938964844,448.0,467.20001220703125,355.2877502441406,2272193
2018-03-22,465.3999938964844,477.3999938964844,449.3999938964844,453.79998779296875,345.0975646972656,2191349
2018-03-23,447.79998779296875,462.79998779296875,439.6000061035156,460.0,349.81243896484375,1682680
2018-03-26,461.20001220703125,463.0,454.0,458.79998779296875,348.89984130859375,557561
2018-03-27,462.20001220703125,466.79998779296875,459.6000061035156,464.20001220703125,353.0063781738281,610707
2018-03-28,459.79998779296875,470.3999938964844,459.3999938964844,469.3999938964844,356.9608154296875,762951
2018-03-29,467.79998779296875,472.79998779296875,454.0,454.3999938964844,345.5538330078125,1317068
